,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Model,Dataset,Epoch,Batch Size,Dropout,Early Stopping,Learning Rate,Weight Decay,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,indobenchmark/indobert-base-p1,IndonesiaDataset,1,8,0.1,0,2e-05,0.01,1.4911761283874512,0.4022598870056497,0.4524094675313054,0.4022598870056497,0.4090386370755249,9.7139,91.106,11.427,0.990990990990991
1,1.0,1.0,1.0,1.0,1.0,1.0,,indobenchmark/indobert-base-p1,IndonesiaDataset,1,8,0.1,0,2e-05,0.01,1.5618247985839844,0.3028248587570621,0.3862399318786612,0.3028248587570621,0.2495381192589795,9.7262,90.991,11.412,0.990990990990991
2,2.0,2.0,2.0,2.0,2.0,,,indobenchmark/indobert-base-p1,IndonesiaDataset,1,8,0.1,0,2e-05,0.01,1.5290679931640625,0.3604519774011299,0.4016896436615341,0.3604519774011299,0.3011022077194393,9.7441,90.824,11.392,0.990990990990991
3,3.0,3.0,3.0,3.0,,,,indobenchmark/indobert-base-p1,IndonesiaDataset,5,8,0.1,0,2e-05,0.01,0.9590385556221008,0.7830508474576271,0.787449034496125,0.7830508474576272,0.7838155597372222,9.8616,89.742,11.256,4.989830508474577
4,4.0,4.0,4.0,,,,,indobenchmark/indobert-base-p1,IndonesiaDataset,5,8,0.3,0,2e-05,0.01,0.9695460200309752,0.7864406779661017,0.7893925977836567,0.7864406779661017,0.7868278618140787,9.8535,89.816,11.265,4.989830508474577
5,5.0,5.0,,,,,,indobenchmark/indobert-base-p1,IndonesiaDataset,5,8,0.5,0,2e-05,0.01,0.9695459604263306,0.7864406779661017,0.7893925977836567,0.7864406779661017,0.7868278618140787,9.8381,89.956,11.283,4.989830508474577
6,6.0,,,,,,,indobenchmark/indobert-base-p1,IndonesiaDataset,5,16,0.1,0,2e-05,0.01,0.7491408586502075,0.7819209039548023,0.7866572045858558,0.7819209039548023,0.7823852956530034,9.9294,89.129,5.64,4.979683972911964
7,,,,,,,,indobenchmark/indobert-base-p1,IndonesiaDataset,5,8,0.1,0,2e-05,0.3,0.9632648229598999,0.7875706214689265,0.7912551460704853,0.7875706214689264,0.7879377767489796,9.7595,90.681,11.373,4.989830508474577
